"test"," time-1 "," time-2 "," time-3 ","range"
"Tests/Benchmarks/icfp_pos/Incr.hs"," 1.5704"," 1.5386"," 1.5698","0"
"Tests/Benchmarks/icfp_pos/Overview.lhs"," 6.7222"," 6.5199"," 6.7057","0"
"Tests/Benchmarks/icfp_pos/Privileges.hs"," 0.7351"," 0.7205"," 0.7268","0"
"Tests/Benchmarks/icfp_pos/RIO2.hs"," 17.5244"," 16.8792"," 17.3018","0"
"Tests/Benchmarks/icfp_pos/TestM.hs"," 0.8054"," 0.7789"," 0.7767","0"
"Tests/Benchmarks/icfp_pos/TwiceM.hs"," 6.5072"," 6.2855"," 6.3610","0"
"Tests/Benchmarks/icfp_pos/WhileM.hs"," 0.8314"," 0.7906"," 0.8066","0"
"Tests/Benchmarks/icfp_pos/WhileTest.hs"," 1.5829"," 1.7945"," 1.8668","0"
"Tests/Benchmarks/text/Data/Text/Array.hs"," 2.4492"," 2.4882"," 2.4596","0"
"Tests/Benchmarks/text/Data/Text/Foreign.hs"," 3.8279"," 4.1693"," 4.1974","0"
"Tests/Benchmarks/text/Data/Text/Internal.hs"," 5.3592"," 5.7754"," 5.7515","0"
"Tests/Benchmarks/text/Data/Text/Lazy/Internal.hs"," 3.6055"," 3.4711"," 3.4488","0"
"Tests/Benchmarks/text/Data/Text/Private.hs"," 2.2095"," 2.4367"," 2.4510","0"
"Tests/Benchmarks/text/Data/Text/Unsafe.hs"," 3.0365"," 3.6417"," 3.6332","0"
"Tests/Benchmarks/text/Setup.lhs"," 0.6866"," 0.6911"," 0.6887","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Combinators.hs"," 0.6785"," 0.6950"," 0.6815","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Common.hs"," 1.2567"," 1.1960"," 1.1698","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Insertion.hs"," 1.8306"," 1.8381"," 1.8995","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Optimal.hs"," 13.7097"," 13.5921"," 13.7506","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Termination.hs"," 1.1019"," 1.0588"," 1.0550","0"
"Tests/Benchmarks/vect-algs/Setup.lhs"," 0.7215"," 0.7129"," 0.6862","0"
"Tests/Unit/crash/AbsRef.hs"," 0.5657"," 0.5528"," 0.5466","0"
"Tests/Unit/crash/Assume.hs"," 0.5624"," 0.5505"," 0.5459","0"
"Tests/Unit/crash/Assume1.hs"," 0.5639"," 0.5509"," 0.5525","0"
"Tests/Unit/crash/Ast.hs"," 0.6023"," 0.5866"," 0.5860","0"
"Tests/Unit/crash/BadExprArg.hs"," 0.5642"," 0.5511"," 0.5451","0"
"Tests/Unit/crash/BadSyn1.hs"," 0.5285"," 0.5193"," 0.5172","0"
"Tests/Unit/crash/BadSyn2.hs"," 0.5299"," 0.5233"," 0.5202","0"
"Tests/Unit/crash/BadSyn3.hs"," 0.5347"," 0.5231"," 0.5169","0"
"Tests/Unit/crash/BadSyn4.hs"," 0.5256"," 0.5233"," 0.5214","0"
"Tests/Unit/crash/CyclicExprAlias0.hs"," 0.4858"," 0.4761"," 0.4747","0"
"Tests/Unit/crash/CyclicExprAlias1.hs"," 0.4811"," 0.4925"," 0.4842","0"
