"test"," time-1464925730"," time-1465445492"," time-1465507416","range"
"Tests/Benchmarks/haskell16_pos/Unification.hs"," 5.8710"," 6.4485"," 6.2123","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour.hs"," 4.2150"," 4.1728"," 4.0080","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ANSI.hs"," 2.1834"," 1.8525"," 1.6931","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ColourHighlight.hs"," 3.0979"," 2.8331"," 2.5143","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Colourise.hs"," 3.0563"," 3.0926"," 2.7946","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/General.hs"," 1.3658"," 0.7770"," 0.7220","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/MIRC.hs"," 2.3364"," 2.1685"," 2.0283","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Options.hs"," 0.8592"," 0.8402"," 0.8070","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Output.hs"," 0.9573"," 0.9602"," 0.8862","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/TTY.hs"," 1.2212"," 1.2185"," 1.0738","0"
"Tests/Benchmarks/hscolour/Setup.hs"," 0.7419"," 0.8110"," 0.6899","0"
"Tests/Benchmarks/icfp_neg/Composition.hs"," 0.8861"," 0.8482"," 0.7918","0"
"Tests/Benchmarks/icfp_neg/DBMovies.hs"," 3.3603"," 2.7811"," 2.5978","0"
"Tests/Benchmarks/icfp_neg/Records.hs"," 0.9090"," 0.9112"," 0.8091","0"
"Tests/Benchmarks/icfp_neg/TestM.hs"," 0.9807"," 0.9474"," 0.8557","0"
"Tests/Benchmarks/icfp_neg/WhileM.hs"," 1.1578"," 1.1640"," 1.0191","0"
"Tests/Benchmarks/icfp_pos/Append.hs"," 1.1854"," 1.1564"," 1.0495","0"
"Tests/Benchmarks/icfp_pos/CompareConstraints.hs"," 1.0022"," 0.9874"," 0.8757","0"
"Tests/Benchmarks/icfp_pos/Composition.hs"," 0.8404"," 0.8426"," 0.7530","0"
"Tests/Benchmarks/icfp_pos/Filter.lhs"," 1.3545"," 1.0546"," 0.9153","0"
"Tests/Benchmarks/icfp_pos/FoldAbs.hs"," 5.8465"," 5.5694"," 5.1993","0"
"Tests/Benchmarks/icfp_pos/ICFP15.lhs"," 1.5567"," 1.6435"," 1.4863","0"
"Tests/Benchmarks/icfp_pos/IfM2.hs"," 2.6381"," 2.2585"," 2.0943","0"
"Tests/Benchmarks/icfp_pos/Incr-elim.hs"," 1.1179"," 0.9070"," 0.7887","0"
"Tests/Benchmarks/icfp_pos/Incr.hs"," 1.2933"," 0.9358"," 0.8179","0"
"Tests/Benchmarks/icfp_pos/Privileges.hs"," 1.0700"," 0.8020"," 0.7080","0"
"Tests/Benchmarks/icfp_pos/TestM.hs"," 1.0448"," 0.8308"," 0.7063","0"
"Tests/Benchmarks/icfp_pos/WhileM.hs"," 1.0715"," 1.0002"," 0.9204","0"
"Tests/Benchmarks/icfp_pos/WhileTest.hs"," 1.0262"," 0.9643"," 0.8537","0"
"Tests/Benchmarks/icfp_pos/dropwhile.hs"," 1.2563"," 0.9683"," 0.8450","0"
"Tests/Benchmarks/text/Data/Text/Array.hs"," 1.9103"," 1.9322"," 1.7097","0"
"Tests/Benchmarks/text/Data/Text/Foreign.hs"," 3.2274"," 3.1092"," 2.8746","0"
"Tests/Benchmarks/text/Data/Text/Fusion-debug-sel.hs"," 3.3065"," 2.9160"," 2.7557","0"
"Tests/Benchmarks/text/Data/Text/Fusion/Size.hs"," 2.0940"," 1.9532"," 1.7881","0"
"Tests/Benchmarks/text/Data/Text/Lazy/Builder.hs"," 10.5905"," 10.1822"," 9.7078","0"
"Tests/Benchmarks/text/Data/Text/Lazy/Internal.hs"," 5.1417"," 5.1713"," 4.7652","0"
"Tests/Benchmarks/text/Data/Text/Private.hs"," 2.3593"," 2.1391"," 1.8788","0"
"Tests/Benchmarks/text/Data/Text/Unsafe.hs"," 2.3415"," 2.3221"," 2.1448","0"
"Tests/Benchmarks/text/Data/Text/UnsafeChar.hs"," 2.1241"," 1.6981"," 1.5518","0"
"Tests/Benchmarks/text/Setup.lhs"," 1.5842"," 1.1249"," 1.4503","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/AmericanFlag.hs"," 4.3265"," 4.8080"," 4.4059","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Combinators.hs"," 0.7693"," 0.7943"," 0.6785","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Common.hs"," 1.0978"," 1.1314"," 1.0206","0"
"Tests/Benchmarks/vect-algs/Data/Vector/Algorithms/Insertion.hs"," 1.6289"," 1.4852"," 1.3570","0"
