"test"," time-1464925730"," time-1465445492","range"
"Tests/Benchmarks/haskell16_neg/ApplicativeMaybe.hs"," 3.3509"," 2.4132","0"
"Tests/Benchmarks/haskell16_neg/Fibonacci.hs"," 2.4640"," 2.7960","0"
"Tests/Benchmarks/haskell16_neg/FunctorList.hs"," 1.8491"," 1.7693","0"
"Tests/Benchmarks/haskell16_neg/FunctorMaybe.hs"," 1.2312"," 1.2910","0"
"Tests/Benchmarks/haskell16_neg/MapFusion.hs"," 1.9203"," 1.6832","0"
"Tests/Benchmarks/haskell16_neg/MonadList.hs"," 8.4163"," 8.6927","0"
"Tests/Benchmarks/haskell16_pos/Append.hs"," 1.4174"," 1.4823","0"
"Tests/Benchmarks/haskell16_pos/BasicLambdas.hs"," 1.0806"," 0.7903","0"
"Tests/Benchmarks/haskell16_pos/Compose.hs"," 1.3818"," 0.8128","0"
"Tests/Benchmarks/haskell16_pos/Fibonacci.hs"," 2.9925"," 2.7017","0"
"Tests/Benchmarks/haskell16_pos/FoldrUniversal.hs"," 2.8414"," 2.2006","0"
"Tests/Benchmarks/haskell16_pos/FunctorList.hs"," 1.6123"," 1.5377","0"
"Tests/Benchmarks/haskell16_pos/FunctorMaybe.hs"," 1.2788"," 1.2615","0"
"Tests/Benchmarks/haskell16_pos/Helper.hs"," 1.3267"," 1.3583","0"
"Tests/Benchmarks/haskell16_pos/MapFusion.hs"," 1.3881"," 1.2558","0"
"Tests/Benchmarks/haskell16_pos/MonadList.hs"," 1.6421"," 1.6961","0"
"Tests/Benchmarks/haskell16_pos/MonadMaybe.hs"," 1.1458"," 1.0576","0"
"Tests/Benchmarks/haskell16_pos/MonoidList.hs"," 1.1851"," 1.0884","0"
"Tests/Benchmarks/haskell16_pos/MonoidMaybe.hs"," 1.0032"," 1.0231","0"
"Tests/Benchmarks/haskell16_pos/Overview.hs"," 1.1290"," 1.1592","0"
"Tests/Benchmarks/haskell16_pos/Proves.hs"," 0.8289"," 0.8917","0"
"Tests/Benchmarks/haskell16_pos/Solver.hs"," 1.6619"," 1.6594","0"
"Tests/Benchmarks/haskell16_pos/Unification.hs"," 5.8710"," 6.4485","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour.hs"," 4.2150"," 4.1728","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ANSI.hs"," 2.1834"," 1.8525","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/ColourHighlight.hs"," 3.0979"," 2.8331","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Colourise.hs"," 3.0563"," 3.0926","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/General.hs"," 1.3658"," 0.7770","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/MIRC.hs"," 2.3364"," 2.1685","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Options.hs"," 0.8592"," 0.8402","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/Output.hs"," 0.9573"," 0.9602","0"
"Tests/Benchmarks/hscolour/Language/Haskell/HsColour/TTY.hs"," 1.2212"," 1.2185","0"
"Tests/Benchmarks/hscolour/Setup.hs"," 0.7419"," 0.8110","0"
"Tests/Benchmarks/icfp_neg/Composition.hs"," 0.8861"," 0.8482","0"
"Tests/Benchmarks/icfp_neg/DBMovies.hs"," 3.3603"," 2.7811","0"
"Tests/Benchmarks/icfp_neg/Records.hs"," 0.9090"," 0.9112","0"
"Tests/Benchmarks/icfp_neg/TestM.hs"," 0.9807"," 0.9474","0"
"Tests/Benchmarks/icfp_neg/WhileM.hs"," 1.1578"," 1.1640","0"
"Tests/Benchmarks/icfp_pos/Append.hs"," 1.1854"," 1.1564","0"
"Tests/Benchmarks/icfp_pos/CompareConstraints.hs"," 1.0022"," 0.9874","0"
"Tests/Benchmarks/icfp_pos/Composition.hs"," 0.8404"," 0.8426","0"
"Tests/Benchmarks/icfp_pos/Filter.lhs"," 1.3545"," 1.0546","0"
"Tests/Benchmarks/icfp_pos/FoldAbs.hs"," 5.8465"," 5.5694","0"
"Tests/Benchmarks/icfp_pos/ICFP15.lhs"," 1.5567"," 1.6435","0"
"Tests/Benchmarks/icfp_pos/IfM2.hs"," 2.6381"," 2.2585","0"
